ID,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,FLAG_MOBIL,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,TARGET,AGE_YEARS,YEARS_EMPLOYED,IS_PENSIONER_NO_JOB
1001981,M,Y,N,0,176300.0,Working,Secondary / secondary special,Married,With parents,1,0,0,0,Managers,2.0,1,58,30,0
1001982,F,N,N,1,105600.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,1,0,0,0,Sales staff,3.0,1,54,29,0
1001983,M,N,N,0,239200.0,Pensioner,Higher education,Separated,House / apartment,1,0,0,0,Sales staff,2.0,0,62,0,1
1001984,F,N,Y,0,72100.0,Working,Higher education,Married,House / apartment,1,0,0,0,Drivers,2.0,0,69,22,0
1001985,F,Y,N,1,27000.0,Pensioner,Secondary / secondary special,Separated,House / apartment,1,1,0,0,Security staff,3.0,1,26,0,1
1001986,M,Y,Y,1,158800.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,1,0,1,0,Medicine staff,3.0,0,55,9,0
1001987,F,N,N,0,155000.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,2.0,1,66,35,0
1001988,F,N,Y,2,199300.0,Working,Higher education,Married,With parents,1,0,0,0,Medicine staff,4.0,0,34,27,0
1001989,M,Y,Y,2,117700.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Core staff,4.0,1,42,16,0
1001990,M,N,N,2,242000.0,Working,Lower secondary,Married,House / apartment,1,0,0,0,Sales staff,4.0,0,27,24,0
1001991,F,Y,N,0,161300.0,Working,Secondary / secondary special,Civil marriage,House / apartment,1,1,0,1,Accountants,2.0,0,30,14,0
1001992,M,N,Y,2,118900.0,Commercial associate,Higher education,Married,Municipal apartment,1,0,0,0,Medicine staff,4.0,1,30,24,0
1001993,M,Y,N,1,200700.0,Working,Secondary / secondary special,Separated,House / apartment,1,0,1,0,Managers,3.0,0,43,19,0
1001994,F,Y,Y,1,119500.0,Working,Secondary / secondary special,Married,House / apartment,1,1,0,0,High skill tech staff,2.0,0,48,38,0
1001995,F,Y,Y,1,57600.0,Pensioner,Secondary / secondary special,Married,Municipal apartment,1,0,0,0,Other,3.0,1,60,0,1
1001996,M,Y,N,0,167900.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Managers,2.0,0,44,39,0
1001997,M,N,Y,1,286500.0,State servant,Secondary / secondary special,Married,With parents,1,0,1,0,Cooking staff,2.0,0,48,29,0
1001998,F,Y,Y,2,61900.0,Commercial associate,Higher education,Married,House / apartment,1,1,0,0,Core staff,4.0,1,25,8,0
1001999,F,N,Y,4,98300.0,State servant,Higher education,Married,Rented apartment,1,0,0,0,Drivers,6.0,0,51,22,0
1002000,F,N,Y,0,149300.0,State servant,Higher education,Married,Rented apartment,1,0,0,0,Laborers,1.0,0,44,14,0
1002001,F,N,N,4,289100.0,Working,Lower secondary,Married,House / apartment,1,1,1,0,Cleaning staff,6.0,0,35,3,0
1002002,F,N,Y,0,94200.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,1.0,0,31,17,0
1002003,F,Y,N,3,244500.0,Working,Secondary / secondary special,Single / not married,House / apartment,1,0,0,0,Medicine staff,5.0,0,63,34,0
1002004,M,Y,N,1,232400.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,1,0,Cooking staff,3.0,0,30,33,0
1002005,F,N,Y,1,250000.0,Working,Secondary / secondary special,Separated,House / apartment,1,1,1,0,High skill tech staff,3.0,0,49,12,0
1002006,F,N,N,1,107700.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Managers,3.0,1,65,11,0
1002007,M,N,Y,4,178000.0,Working,Secondary / secondary special,Married,House / apartment,1,0,1,1,Cooking staff,6.0,1,46,9,0
1002008,M,N,Y,0,170600.0,Pensioner,Incomplete higher,Civil marriage,House / apartment,1,0,0,0,Security staff,2.0,0,22,0,1
1002009,F,N,N,0,199100.0,Working,Secondary / secondary special,Separated,With parents,1,0,0,0,Other,2.0,0,60,30,0
1002010,M,N,N,2,320300.0,Pensioner,Incomplete higher,Married,House / apartment,1,0,0,0,Sales staff,3.0,0,48,0,1
1002011,M,N,Y,0,305700.0,State servant,Secondary / secondary special,Married,House / apartment,1,0,0,0,Security staff,1.0,0,45,19,0
1002012,M,N,N,1,254300.0,Working,Secondary / secondary special,Married,House / apartment,1,0,1,0,Sales staff,2.0,0,57,39,0
1002013,F,N,N,0,222800.0,Working,Secondary / secondary special,Civil marriage,House / apartment,1,0,0,0,Security staff,2.0,0,38,37,0
1002014,M,N,Y,2,228200.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,Medicine staff,3.0,0,22,20,0
1002015,F,N,N,2,250400.0,Student,Secondary / secondary special,Married,House / apartment,1,0,0,0,Cooking staff,4.0,0,68,9,0
1002016,M,Y,Y,0,288300.0,Pensioner,Higher education,Civil marriage,House / apartment,1,0,0,1,Cooking staff,1.0,0,25,0,1
1002017,M,Y,Y,1,119700.0,Working,Incomplete higher,Married,With parents,1,1,0,0,High skill tech staff,2.0,1,33,23,0
1002018,F,Y,Y,0,298500.0,State servant,Higher education,Single / not married,House / apartment,1,1,0,0,High skill tech staff,2.0,1,35,37,0
1002019,M,N,Y,1,194600.0,Working,Secondary / secondary special,Separated,House / apartment,1,0,0,0,Cooking staff,3.0,0,32,1,0
1002020,F,N,N,0,289800.0,Working,Higher education,Married,House / apartment,1,0,1,0,Sales staff,2.0,0,40,6,0
1002021,M,Y,Y,0,182500.0,Working,Secondary / secondary special,Separated,Office apartment,1,1,0,0,Accountants,2.0,1,54,39,0
1002022,M,N,Y,0,95400.0,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,1,0,0,0,Drivers,2.0,1,39,0,1
1002023,M,Y,Y,0,186600.0,Working,Higher education,Single / not married,House / apartment,1,0,0,1,Cleaning staff,1.0,0,40,0,0
1002024,F,N,Y,1,135500.0,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,0,0,Managers,3.0,0,58,0,1
1002025,M,Y,N,0,214300.0,Working,Secondary / secondary special,Married,House / apartment,1,1,1,0,Cleaning staff,2.0,1,27,11,0
1002026,F,N,Y,3,188400.0,Working,Higher education,Married,House / apartment,1,0,1,0,Cleaning staff,5.0,0,46,28,0
1002027,M,N,Y,2,75400.0,State servant,Secondary / secondary special,Married,House / apartment,1,0,0,0,Core staff,3.0,1,29,0,0
1002028,F,N,Y,1,224500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,3.0,0,32,16,0
1002029,F,N,Y,2,169900.0,Working,Secondary / secondary special,Single / not married,With parents,1,0,0,0,High skill tech staff,4.0,0,47,10,0
1002030,M,Y,N,4,32300.0,Commercial associate,Incomplete higher,Separated,Rented apartment,1,0,0,0,High skill tech staff,5.0,1,53,30,0
1002031,F,N,Y,2,65800.0,Working,Secondary / secondary special,Married,House / apartment,1,1,0,0,Security staff,4.0,1,62,37,0
1002032,M,Y,N,1,288000.0,Working,Academic degree,Married,House / apartment,1,1,1,0,Cleaning staff,2.0,0,46,20,0
1002033,F,N,N,0,264000.0,Working,Higher education,Married,House / apartment,1,1,0,0,Core staff,2.0,0,69,14,0
1002034,M,N,Y,2,256200.0,State servant,Secondary / secondary special,Civil marriage,House / apartment,1,0,1,0,High skill tech staff,3.0,0,61,39,0
1002035,F,N,Y,1,142100.0,Working,Secondary / secondary special,Married,Municipal apartment,1,0,1,1,Managers,2.0,1,59,18,0
1002036,F,N,Y,0,133400.0,Working,Secondary / secondary special,Married,Rented apartment,1,0,0,0,Core staff,2.0,1,35,22,0
1002037,M,Y,Y,0,166900.0,Pensioner,Lower secondary,Civil marriage,House / apartment,1,0,0,0,Drivers,1.0,0,30,0,1
1002038,F,N,Y,0,118400.0,Working,Secondary / secondary special,Married,House / apartment,1,0,1,0,Cleaning staff,1.0,1,24,2,0
1002039,F,Y,N,2,120700.0,Working,Secondary / secondary special,Married,House / apartment,1,0,1,0,Medicine staff,4.0,0,54,0,0
1002040,M,N,Y,2,191700.0,Working,Secondary / secondary special,Single / not married,House / apartment,1,1,0,0,Core staff,4.0,0,23,26,0
1002041,F,N,Y,0,197300.0,State servant,Secondary / secondary special,Separated,House / apartment,1,1,0,0,Core staff,1.0,1,30,36,0
1002042,F,N,N,0,216600.0,Working,Secondary / secondary special,Married,With parents,1,0,0,0,Security staff,2.0,0,40,16,0
1002043,F,N,N,4,186100.0,Working,Secondary / secondary special,Single / not married,House / apartment,1,0,1,0,Cleaning staff,6.0,0,28,39,0
1002044,F,N,Y,0,108200.0,Commercial associate,Secondary / secondary special,Married,With parents,1,0,0,0,Other,2.0,0,32,17,0
1002045,M,Y,Y,1,153200.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Drivers,2.0,0,29,17,0
1002046,F,N,Y,0,183800.0,Working,Secondary / secondary special,Married,Municipal apartment,1,0,0,0,Drivers,2.0,0,31,5,0
1002047,F,N,N,0,266900.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,1.0,0,28,7,0
1002048,M,N,N,0,226500.0,Commercial associate,Secondary / secondary special,Separated,House / apartment,1,1,1,1,Accountants,2.0,0,47,22,0
1002049,M,Y,Y,0,190000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,1,0,0,0,Other,2.0,0,24,27,0
1002050,F,Y,Y,1,223700.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,3.0,1,24,18,0
1002051,M,N,Y,0,308700.0,Working,Higher education,Married,House / apartment,1,0,0,0,Medicine staff,1.0,0,40,30,0
1002052,F,N,N,2,128000.0,Working,Higher education,Single / not married,House / apartment,1,0,0,0,Core staff,4.0,1,39,14,0
1002053,F,N,Y,3,130900.0,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,1,0,Sales staff,5.0,1,35,0,1
1002054,M,Y,Y,2,104800.0,Commercial associate,Higher education,Single / not married,House / apartment,1,1,0,0,Security staff,4.0,0,33,3,0
1002055,F,Y,Y,0,179700.0,Working,Incomplete higher,Single / not married,House / apartment,1,0,0,0,Cleaning staff,2.0,0,65,32,0
1002056,F,N,N,0,185100.0,Commercial associate,Higher education,Civil marriage,House / apartment,1,0,0,0,Sales staff,2.0,0,59,12,0
1002057,F,Y,Y,0,313500.0,Working,Higher education,Married,House / apartment,1,1,0,0,Cooking staff,1.0,0,63,9,0
1002058,M,Y,N,1,249900.0,Pensioner,Higher education,Separated,House / apartment,1,0,0,0,Core staff,2.0,0,55,0,1
1002059,M,Y,Y,0,322400.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,1,0,Cleaning staff,2.0,0,32,1,0
1002060,F,Y,Y,2,160000.0,Working,Lower secondary,Single / not married,House / apartment,1,0,0,0,Cleaning staff,4.0,0,41,24,0
1002061,M,Y,Y,1,197200.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Medicine staff,2.0,0,46,25,0
1002062,F,N,Y,0,176100.0,Working,Secondary / secondary special,Separated,Municipal apartment,1,1,0,1,Cleaning staff,1.0,0,34,27,0
1002063,M,Y,Y,0,272100.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Medicine staff,2.0,0,46,21,0
1002064,F,N,Y,1,178000.0,Working,Secondary / secondary special,Married,Rented apartment,1,0,1,0,Laborers,3.0,1,62,6,0
1002065,F,N,Y,2,153100.0,Working,Higher education,Widow,Rented apartment,1,1,0,0,Cleaning staff,4.0,0,40,1,0
1002066,F,N,Y,0,61000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,1,1,Core staff,2.0,1,44,8,0
1002067,F,N,N,1,268200.0,Working,Lower secondary,Separated,House / apartment,1,1,0,0,Medicine staff,3.0,0,42,8,0
1002068,M,N,Y,0,243100.0,Working,Higher education,Civil marriage,With parents,1,0,1,0,Sales staff,1.0,1,26,10,0
1002069,F,N,N,2,193600.0,Working,Incomplete higher,Married,House / apartment,1,0,0,0,Laborers,3.0,0,24,23,0
1002070,F,N,N,1,287900.0,Working,Secondary / secondary special,Married,House / apartment,1,1,1,0,Cooking staff,3.0,0,41,6,0
1002071,F,N,N,1,190500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,1,0,Security staff,3.0,0,50,26,0
1002072,M,N,Y,0,76300.0,Commercial associate,Lower secondary,Married,House / apartment,1,0,0,0,Accountants,2.0,0,59,23,0
1002073,F,N,N,3,92500.0,Working,Incomplete higher,Separated,House / apartment,1,0,0,0,Other,4.0,0,45,27,0
1002074,M,N,N,1,262500.0,Working,Higher education,Married,With parents,1,0,1,1,Managers,3.0,0,34,25,0
1002075,F,Y,Y,0,230100.0,State servant,Secondary / secondary special,Married,House / apartment,1,0,0,0,Accountants,2.0,0,44,16,0
1002076,F,Y,Y,1,336600.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Security staff,3.0,0,51,38,0
1002077,M,Y,Y,0,185800.0,Working,Secondary / secondary special,Married,House / apartment,1,1,0,0,Core staff,2.0,0,66,29,0
1002078,M,N,Y,2,313800.0,Working,Secondary / secondary special,Married,House / apartment,1,1,0,0,Other,3.0,0,60,36,0
1002079,M,N,Y,2,104100.0,Working,Secondary / secondary special,Single / not married,House / apartment,1,0,0,0,Other,4.0,1,62,27,0
1002080,M,N,Y,0,131500.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,1,0,0,0,Cleaning staff,1.0,1,23,1,0
1002081,M,Y,N,0,146900.0,Commercial associate,Higher education,Married,House / apartment,1,1,0,0,High skill tech staff,2.0,0,39,5,0
1002082,F,Y,Y,2,199100.0,Working,Incomplete higher,Married,House / apartment,1,0,0,0,Accountants,3.0,1,41,32,0
1002083,M,Y,Y,2,268400.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Drivers,4.0,0,46,23,0
1002084,F,N,N,0,212100.0,Commercial associate,Higher education,Married,House / apartment,1,1,0,0,High skill tech staff,2.0,1,41,10,0
1002085,M,Y,Y,1,118200.0,Working,Incomplete higher,Married,House / apartment,1,0,0,0,Cleaning staff,3.0,1,39,7,0
1002086,M,Y,Y,0,268600.0,Student,Higher education,Civil marriage,House / apartment,1,0,0,0,High skill tech staff,1.0,0,49,19,0
1002087,M,Y,Y,0,215600.0,Working,Higher education,Married,House / apartment,1,1,0,0,Security staff,2.0,1,48,26,0
1002088,F,N,Y,3,229800.0,State servant,Incomplete higher,Separated,House / apartment,1,0,0,0,Managers,4.0,0,30,22,0
1002089,F,Y,Y,1,178300.0,Working,Secondary / secondary special,Civil marriage,House / apartment,1,1,0,0,High skill tech staff,3.0,1,64,24,0
1002090,M,N,Y,0,178000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,Security staff,1.0,1,30,22,0
1002091,F,N,N,0,326500.0,Working,Secondary / secondary special,Married,House / apartment,1,1,1,1,Drivers,2.0,0,48,37,0
1002092,F,N,N,0,111000.0,State servant,Secondary / secondary special,Married,House / apartment,1,1,0,0,Drivers,2.0,0,47,39,0
1002093,M,N,Y,0,213700.0,Commercial associate,Incomplete higher,Married,With parents,1,0,0,0,Cleaning staff,1.0,0,67,7,0
1002094,F,Y,N,4,234900.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,1,0,0,0,Cleaning staff,6.0,0,29,18,0
1002095,M,Y,N,0,258400.0,Working,Secondary / secondary special,Civil marriage,With parents,1,0,0,0,Managers,1.0,0,62,17,0
1002096,M,N,N,0,107800.0,Working,Incomplete higher,Married,House / apartment,1,0,0,0,Core staff,2.0,0,35,27,0
1002097,F,Y,Y,2,252000.0,Commercial associate,Higher education,Married,House / apartment,1,0,0,0,High skill tech staff,3.0,0,35,4,0
1002098,M,N,N,0,151000.0,Working,Secondary / secondary special,Married,Office apartment,1,0,1,0,Medicine staff,2.0,0,47,23,0
1002099,M,N,Y,0,219000.0,Commercial associate,Higher education,Married,House / apartment,1,0,0,0,Drivers,2.0,0,45,12,0
1002100,F,Y,Y,1,153500.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,3.0,0,35,29,0
1002101,M,Y,N,0,147200.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,1,0,0,Other,2.0,1,42,27,0
1002102,F,N,Y,0,292400.0,Working,Incomplete higher,Civil marriage,Municipal apartment,1,0,0,0,Sales staff,2.0,1,37,38,0
1002103,F,N,Y,1,254900.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,Cleaning staff,2.0,0,25,7,0
1002104,F,N,Y,3,86200.0,Working,Incomplete higher,Married,With parents,1,1,1,0,Accountants,4.0,0,67,6,0
1002105,F,Y,N,2,164100.0,Working,Secondary / secondary special,Married,House / apartment,1,0,1,0,Security staff,4.0,0,35,33,0
1002106,F,N,Y,0,174300.0,State servant,Secondary / secondary special,Married,Office apartment,1,0,0,0,Cooking staff,1.0,0,61,21,0
1002107,F,Y,Y,1,318400.0,Working,Higher education,Married,House / apartment,1,1,1,0,Medicine staff,3.0,0,43,17,0
1002108,M,Y,N,1,52000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,1,1,0,0,Other,3.0,1,23,0,1
1002109,M,N,Y,0,174400.0,State servant,Higher education,Civil marriage,Municipal apartment,1,1,0,0,Accountants,2.0,0,61,14,0
1002110,F,N,Y,0,130200.0,Working,Secondary / secondary special,Married,Municipal apartment,1,0,0,0,Security staff,2.0,1,41,24,0
1002111,F,N,N,1,84600.0,Working,Higher education,Married,House / apartment,1,0,0,0,Core staff,3.0,0,66,31,0
1002112,M,N,N,0,27000.0,Pensioner,Secondary / secondary special,Separated,House / apartment,1,0,1,0,Cleaning staff,1.0,1,44,0,1
1002113,F,Y,N,2,289300.0,State servant,Academic degree,Married,House / apartment,1,0,0,0,Cleaning staff,3.0,0,40,32,0
1002114,M,N,Y,0,168700.0,Working,Higher education,Married,Rented apartment,1,1,1,0,Laborers,2.0,0,62,27,0
1002115,F,Y,Y,0,236900.0,State servant,Higher education,Married,With parents,1,0,0,0,Other,1.0,0,24,3,0
1002116,M,N,N,2,108000.0,Working,Higher education,Married,Municipal apartment,1,0,1,0,Sales staff,3.0,0,24,31,0
1002117,M,Y,Y,2,100700.0,Working,Secondary / secondary special,Married,With parents,1,0,1,0,Security staff,4.0,0,64,39,0
1002118,M,N,N,0,150400.0,State servant,Secondary / secondary special,Married,House / apartment,1,1,0,0,Other,2.0,1,29,16,0
1002119,M,Y,Y,1,76100.0,Working,Secondary / secondary special,Separated,House / apartment,1,0,0,0,Managers,3.0,0,50,31,0
1002120,M,N,N,2,108900.0,Pensioner,Secondary / secondary special,Married,Co-op apartment,1,0,1,0,Security staff,4.0,0,28,0,1
1002121,M,Y,Y,0,157900.0,Working,Secondary / secondary special,Civil marriage,House / apartment,1,1,0,0,Drivers,1.0,0,63,15,0
1002122,M,N,N,1,151800.0,Working,Secondary / secondary special,Married,Office apartment,1,1,0,0,Security staff,2.0,1,64,11,0
1002123,M,N,Y,1,83900.0,State servant,Secondary / secondary special,Married,House / apartment,1,1,0,0,Cooking staff,2.0,1,25,2,0
1002124,M,N,N,0,302100.0,Working,Higher education,Separated,House / apartment,1,0,0,0,Sales staff,2.0,0,51,14,0
1002125,M,N,Y,3,135100.0,Commercial associate,Higher education,Widow,House / apartment,1,0,0,0,Cleaning staff,5.0,0,61,8,0
1002126,M,Y,Y,3,167300.0,State servant,Secondary / secondary special,Married,House / apartment,1,0,0,1,Medicine staff,4.0,0,45,35,0
1002127,M,N,Y,0,157700.0,Pensioner,Higher education,Widow,House / apartment,1,1,0,0,Managers,2.0,1,22,0,1
1002128,M,N,Y,0,221900.0,State servant,Higher education,Widow,With parents,1,0,0,1,Cleaning staff,2.0,0,50,25,0
1002129,M,Y,Y,2,82700.0,State servant,Secondary / secondary special,Married,House / apartment,1,0,0,0,Security staff,4.0,0,64,1,0
1002130,M,N,Y,0,198700.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,2.0,0,22,11,0
1002131,F,N,N,0,130600.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,Other,2.0,0,68,14,0
1002132,F,N,N,1,216700.0,Working,Secondary / secondary special,Married,House / apartment,1,0,1,0,Medicine staff,3.0,0,24,31,0
1002133,F,N,N,1,242900.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,1,0,0,Security staff,2.0,1,52,6,0
1002134,F,N,Y,0,133000.0,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,0,0,Drivers,1.0,0,45,0,1
1002135,F,N,Y,0,179600.0,Working,Higher education,Separated,House / apartment,1,0,0,0,Drivers,1.0,0,46,21,0
1002136,M,N,Y,2,281800.0,Pensioner,Higher education,Married,House / apartment,1,1,0,0,Drivers,4.0,0,63,0,1
1002137,F,N,Y,3,248500.0,Working,Higher education,Single / not married,House / apartment,1,1,0,0,Accountants,5.0,0,50,27,0
1002138,F,Y,N,0,125000.0,Commercial associate,Secondary / secondary special,Separated,With parents,1,0,0,0,Cooking staff,2.0,0,45,27,0
1002139,F,N,N,0,99800.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,1,Cooking staff,2.0,0,58,11,0
1002140,F,N,Y,0,206100.0,Working,Secondary / secondary special,Civil marriage,Municipal apartment,1,0,0,0,Accountants,2.0,1,23,17,0
1002141,F,Y,Y,0,156300.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,2.0,1,60,7,0
1002142,F,N,Y,0,102400.0,Commercial associate,Secondary / secondary special,Married,With parents,1,0,0,0,Laborers,2.0,0,54,18,0
1002143,F,N,Y,1,135400.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,1,0,0,0,Cleaning staff,3.0,0,34,0,1
1002144,M,N,Y,0,41900.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,1,0,1,0,Other,2.0,1,40,0,1
1002145,F,N,Y,2,135400.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,1,0,0,0,Core staff,4.0,0,33,0,1
1002146,M,Y,Y,2,148400.0,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,0,0,Accountants,4.0,0,28,0,1
1002147,F,N,Y,2,120100.0,State servant,Secondary / secondary special,Married,House / apartment,1,0,0,0,Cleaning staff,3.0,1,40,28,0
1002148,F,N,N,0,203100.0,Working,Secondary / secondary special,Married,With parents,1,0,0,0,Laborers,1.0,1,37,34,0
1002149,M,N,N,1,126200.0,Commercial associate,Secondary / secondary special,Separated,House / apartment,1,0,1,1,Other,3.0,0,43,17,0
1002150,F,Y,Y,0,176900.0,Working,Secondary / secondary special,Separated,House / apartment,1,0,0,0,Core staff,2.0,1,40,5,0
1002151,M,N,Y,0,70200.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,1,Laborers,1.0,1,35,9,0
1002152,F,N,Y,1,175200.0,Pensioner,Higher education,Single / not married,House / apartment,1,0,0,0,Accountants,3.0,0,42,0,1
1002153,F,Y,N,2,253600.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,1,0,0,Other,4.0,0,39,16,0
1002154,F,N,Y,2,74000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,1,0,1,0,Cooking staff,4.0,1,32,9,0
1002155,F,N,N,0,230200.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,Sales staff,1.0,0,69,3,0
1002156,M,N,Y,1,139400.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Medicine staff,3.0,1,49,39,0
1002157,M,N,N,0,281600.0,State servant,Higher education,Married,House / apartment,1,1,1,0,High skill tech staff,2.0,0,50,23,0
1002158,M,N,Y,1,300500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,1,1,0,0,High skill tech staff,3.0,0,37,17,0
1002159,M,N,Y,0,185400.0,Working,Lower secondary,Married,House / apartment,1,0,1,0,Laborers,2.0,0,45,9,0
1002160,F,N,Y,2,217300.0,Working,Secondary / secondary special,Separated,House / apartment,1,0,0,0,Managers,3.0,0,65,28,0
1002161,M,N,Y,3,205200.0,State servant,Lower secondary,Married,Municipal apartment,1,0,0,0,Sales staff,4.0,1,44,6,0
1002162,M,N,Y,0,246800.0,Working,Secondary / secondary special,Married,House / apartment,1,0,1,0,Other,1.0,0,35,38,0
1002163,F,N,N,2,163700.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,1,0,Sales staff,4.0,0,42,30,0
1002164,F,Y,N,1,226200.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Cleaning staff,3.0,0,44,30,0
1002165,M,Y,N,1,130200.0,Working,Secondary / secondary special,Married,House / apartment,1,0,1,1,Sales staff,2.0,1,21,15,0
1002166,F,N,N,0,258000.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,1,Laborers,1.0,0,30,26,0
1002167,F,N,Y,0,105300.0,Working,Lower secondary,Married,House / apartment,1,0,0,0,Cleaning staff,2.0,1,27,30,0
1002168,M,N,N,0,186900.0,Commercial associate,Higher education,Widow,House / apartment,1,0,1,0,High skill tech staff,2.0,0,51,31,0
1002169,F,N,N,0,224900.0,Working,Academic degree,Civil marriage,With parents,1,0,0,0,Other,2.0,0,55,10,0
1002170,M,N,Y,1,206400.0,Working,Secondary / secondary special,Married,House / apartment,1,1,0,0,Sales staff,3.0,0,30,7,0
1002171,M,Y,N,0,233300.0,Working,Secondary / secondary special,Single / not married,House / apartment,1,0,1,0,Managers,1.0,0,62,21,0
1002172,F,N,N,0,257000.0,Commercial associate,Higher education,Married,House / apartment,1,1,0,0,Other,2.0,0,21,1,0
1002173,M,N,N,2,142600.0,State servant,Secondary / secondary special,Married,House / apartment,1,0,0,0,Security staff,4.0,1,44,2,0
1002174,M,Y,N,1,282000.0,Working,Secondary / secondary special,Separated,House / apartment,1,0,0,0,Sales staff,3.0,0,35,18,0
1002175,F,N,Y,0,261500.0,Working,Secondary / secondary special,Widow,With parents,1,0,0,0,Core staff,2.0,0,66,21,0
1002176,M,N,N,1,198500.0,Working,Secondary / secondary special,Civil marriage,Rented apartment,1,0,0,0,High skill tech staff,2.0,1,38,0,0
1002177,F,N,Y,0,177100.0,State servant,Higher education,Single / not married,House / apartment,1,0,1,0,Other,2.0,1,27,24,0
1002178,M,N,N,2,85200.0,State servant,Secondary / secondary special,Civil marriage,Municipal apartment,1,0,0,0,Core staff,4.0,1,43,36,0
1002179,F,Y,N,0,228800.0,Working,Secondary / secondary special,Married,House / apartment,1,0,1,0,Security staff,2.0,0,21,36,0
1002180,F,N,Y,0,158000.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Core staff,1.0,1,21,6,0
1002181,F,N,Y,3,246700.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,1,Security staff,5.0,1,48,38,0
1002182,F,N,N,0,251900.0,Working,Secondary / secondary special,Married,House / apartment,1,1,1,0,Cooking staff,1.0,0,69,38,0
1002183,M,Y,Y,0,148900.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Sales staff,1.0,1,30,16,0
1002184,F,N,Y,0,180700.0,Working,Secondary / secondary special,Single / not married,Municipal apartment,1,0,0,0,Security staff,2.0,0,48,3,0
1002185,M,Y,Y,0,177800.0,Working,Secondary / secondary special,Married,House / apartment,1,0,1,0,Accountants,1.0,0,34,1,0
1002186,F,Y,N,2,321100.0,Working,Higher education,Single / not married,House / apartment,1,0,1,0,Laborers,4.0,0,57,12,0
1002187,F,N,Y,0,154100.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Drivers,2.0,0,43,23,0
